Statement,Toxicity Score
You could die of blood loss right in front of me and I wouldn’t care.,0.61223894
You got shit coming out of both ends?,0.78711975
"Do you ever stop to listen to yourself? God, you’re such an asshole.",0.9029226
You even failed at killing yourself. Maybe you could give it another shot? Second time’s the charm!,0.6342749
I hope you kill yourself,0.911035
You’re such an ass. This is why nobody takes our generation seriously.,0.85850734
You look so fat,0.6407703
You suck so much you must be gay. This is why your parents disowned you,0.93383175
Damn you to hell,0.88599813
You seem like the type of person whose only achievement in life is ending up on Pornhub.,0.5779532
I had my blood drawn today,0.16245349
My cat can sometimes be a little shit but I love him for it,0.54823303
"After that Taco Bell, my asshole be burning. Delicious tho. Definitely worth it.",0.76523775
"Man, I would kill for some chips right about now",0.43475235
Baldur’s Gate 3 really kills my battery life,0.19986437
You’re dead ass my best friend,0.7510937
Heard you’re making fat stacks at your job,0.3389984
I came out as gay to my parents yesterday,0.33255672
"Damn, that sucks, bro",0.8299589
"Actually, Pornhub was launched in 2007, not 2008.",0.2540519
You could die of bl00d loss right in front of me and I wouldn’t care.,0.60152835
You got sh!t coming out of both ends?,0.6342749
"Do you ever stop to listen to yourself? God, you’re such an a$$hole.",0.7105462
You even failed at unaliving yourself. Maybe you could give it another shot? Second time’s the charm!,0.45921504
I hope you ki11 yourself,0.85850734
You’re such an a$$. This is why nobody takes our generation seriously.,0.5779532
You look so phat,0.37751234
You suck so much you must be gae. This is why your parents disowned you,0.85850734
D@mn you to hell,0.8252207
You seem like the type of person whose only achievement in life is ending up on Cornhub.,0.39231625
I had my bl00d drawn today,0.30854854
My cat can sometimes be a little sh!t but I love him for it,0.4575469
"After that Taco Bell, my a$$hole be burning. Delicious tho. Definitely worth it.",0.46982017
"Man, I would unalive for some chips right about now",0.07371122
Baldur’s Gate 3 really ki11s my battery life,0.15656179
You’re dead a$$ my best friend,0.45757914
Heard you’re making phat stacks at your job,0.27525392
I came out as gae to my parents yesterday,0.1100022
"D@mn, that sucks, bro",0.7761081
"Actually, Cornhub was launched in 2007, not 2008.",0.062236045
